subject	silence_SVO_first-pass	silence_SVO_progr	silence_SVO_regr	silence_SVO_lookback	silence_OVS_first-pass	silence_OVS_progr	silence_OVS_regrs	silence_OVS_lookback	Italian_SVO_first-pass	Italian_SVO_progr	Italian_SVO_regr	Italian_SVO_lookback	Italian_OVS_first-pass	Italian_OVS_progr	Italian_OVS_regr	Italian_OVS_lookback	Finnish_SVO_first-pass	Finnish_SVO_progr	Finnish_SVO_regr	Finnish_SVO_lookback	Finnish_OVS_first-pass	Finnish_OVS_progr	Finnish_OVS_regr	Finnish_OVS_lookback
29	3934.4	2578.8	1355.6	1330.4	4050.4	2380.8	1669.6	667.2	4192.4	2603.6	1588.8	715.6	4519.2	2732.4	1786.8	1570.8	3867.2	2579.2	1288	1320.8	3736.4	2147.2	1589.2	820
30	6612.8	3217.6	3395.2	669.2	6647.6	3770.8	2876.8	856.8	5655.2	3248.8	2406.4	1032	6257.2	3420	2837.2	540.4	5013.6	3172	1841.6	398.4	7025.2	3743.6	3281.6	234.4
31	4085.6	3085.2	1000.4	179.6	4202.8	2860.8	1342	460	4142.4	2941.2	1201.2	246	4025.2	2816.8	1208.4	454.8	4198	2948.8	1249.2	137.2	4369.6	3178.4	1191.2	102
32	3089.6	2530.8	558.8	1266.4	2586.4	2101.6	484.8	706	2551.2	2231.2	320	1380.8	2452	2270.4	181.6	1480.4	2954.8	2244.8	710	688	2643.2	2157.6	485.6	1429.2
33	5949.2	4165.6	1783.6	689.6	5275.6	3646	1629.6	572	4962.4	3601.2	1361.2	209.6	4964	3546.8	1417.2	798	5143.6	3499.6	1644	1028	5636.4	3622	2014.4	952
34	3128.8	2376	752.8	192.8	2548	2296.8	251.2	62.4	2885.6	2524.4	361.2	172.4	2724.4	2461.2	263.2	247.6	4022.4	3260.4	762	714.4	2836.4	2486	350.4	458.8
35	3879.6	2322.8	1556.8	3714	5563.6	3112	2451.6	3682	4178.8	2392.8	1786	2298.4	4190.8	2521.6	1669.2	2956.4	4386.8	2924.8	1462	2136.4	3366.4	2484.4	882	2453.6
36	5053.2	3278.4	1774.8	3507.2	4880	2970.8	1909.2	3131.6	4750.4	3075.2	1675.2	2718.8	5509.2	3122.8	2386.4	2403.2	4232.8	2704.4	1528.4	1369.6	4601.6	2725.2	1876.4	2348.8
40	3602	2555.2	1046.8	64	2790.4	2150	640.4	29.2	3076	2469.2	606.8	0	3162	2447.6	714.4	16.4	3447.6	2674.4	773.2	89.2	3286.8	2646.8	640	78.8
41	4188	3194.8	993.2	248.4	4272.8	3185.6	1087.2	126	3518.8	2858	660.8	114.4	4662.4	3014.8	1647.6	162.4	3812	3156	656	117.6	4615.6	3204	1411.6	98.4
42	3393.2	2574	819.2	49.6	4070.4	2843.2	1227.2	273.2	4437.6	3249.2	1188.4	159.6	4320	3116.4	1203.6	16.4	5139.6	3084.8	2054.8	334.8	4222.4	2877.6	1344.8	424.8
43	3676.4	2791.6	884.8	60.4	3417.6	2612	805.6	265.6	3120.8	2422.4	698.4	14.8	3721.2	2450.4	1270.8	0	4028.8	2635.2	1393.6	86	3895.2	2660.8	1234.4	254
44	5248.8	3455.6	1793.2	740.4	5561.6	3211.2	2350.4	599.6	3955.6	2612	1343.6	923.2	3359.6	2599.2	760.4	774.8	3592.4	2627.2	965.2	816	3819.2	2810	1009.2	471.2
45	3119.2	2756	363.2	145.6	3278.4	2966.8	311.6	221.2	2948.4	2615.2	333.2	474	3126	2827.6	298.4	148.8	2844	2630.4	213.6	50.8	3500.4	3198	302.4	831.2
46	4512.8	3527.6	985.2	158.8	4092.4	3464	628.4	52.4	4595.2	3421.2	1174	0	4420	3635.2	784.8	0	4466.4	3232.4	1234	1182.8	3631.6	3100.8	530.8	1197.6
