,ID,N_C,N_E,sample,cit,year,design,sound,sound_type,db,task,measure,mean_C,var_C,mean_E,var_E,var_type,journal,IF,d,d_var,g,g_var,CI95_L,CI95_R,reference
28,15,43,42,adults,Freeburne & Fleischer (1952),1952,between,music,pop,NA,reading comprehension,reading_speed,648.23,112.11,704.05,159.83,SD,Journal of Educational Psychology,3.256,-0.405185186,0.048031073,-0.401512813,0.047164365,-0.827173035,0.024147409,"Freeburne, C. M., & Fleischer, M. S. (1952). The effect of music distraction upon reading rate and comprehension. Journal of Educational Psychology, 43(2), 101-109. doi:10.1037/h0054219"
29,15,43,40,adults,Freeburne & Fleischer (1952),1952,between,music,semi-classical,NA,reading comprehension,num_correct,13.4,5.81,12.95,5.09,SD,Journal of Educational Psychology,3.256,-0.082189302,0.048296507,-0.081425934,0.047403525,-0.508164004,0.345312137,"Freeburne, C. M., & Fleischer, M. S. (1952). The effect of music distraction upon reading rate and comprehension. Journal of Educational Psychology, 43(2), 101-109. doi:10.1037/h0054219"
30,15,43,40,adults,Freeburne & Fleischer (1952),1952,between,music,semi-classical,NA,reading comprehension,reading_speed,648.23,112.11,695.25,148.27,SD,Journal of Educational Psychology,3.256,-0.359550276,0.049034587,-0.3562108,0.048127958,-0.78619727,0.07377567,"Freeburne, C. M., & Fleischer, M. S. (1952). The effect of music distraction upon reading rate and comprehension. Journal of Educational Psychology, 43(2), 101-109. doi:10.1037/h0054219"
31,15,43,37,adults,Freeburne & Fleischer (1952),1952,between,music,jazz,NA,reading comprehension,num_correct,13.4,5.81,12.22,7.68,SD,Journal of Educational Psychology,3.256,-0.175129306,0.05047453,-0.173439956,0.049505442,-0.609536396,0.262656484,"Freeburne, C. M., & Fleischer, M. S. (1952). The effect of music distraction upon reading rate and comprehension. Journal of Educational Psychology, 43(2), 101-109. doi:10.1037/h0054219"
32,15,43,37,adults,Freeburne & Fleischer (1952),1952,between,music,jazz,NA,reading comprehension,reading_speed,648.23,112.11,716.59,111.45,SD,Journal of Educational Psychology,3.256,-0.611416921,0.052619283,-0.605519008,0.051609016,-1.050784317,-0.1602537,"Freeburne, C. M., & Fleischer, M. S. (1952). The effect of music distraction upon reading rate and comprehension. Journal of Educational Psychology, 43(2), 101-109. doi:10.1037/h0054219"
33,16,61,62,adults,Fendrick (1937),1937,between,music,semi-classical,NA,reading comprehension,num_correct,33.69,1.11,29.58,1.11,SE,The Journal of Educational Research,1.218,-0.472135542,0.033428621,-0.469203024,0.033014648,-0.82533372,-0.113072327,"Fendrick, P. (1937). The influence of music distraction upon reading efficiency. The Journal of Educational Research, 31(4), 264-271. doi:10.1080/00220671.1937.10880749"
34,17,19,17,adults,Henderson et al. (1945),1945,between,music,classical,NA,reading comprehension,num_correct,49.2,NA,46.1,NA,NA,Journal of Applied Psychology,3.81,-0.120047779,0.111655268,-0.117380051,0.10674795,-0.757757224,0.522997122,"Henderson, M. T., Crews, A., & Barlow, J. (1945). A study of the effect of music distraction on reading efficiency. Journal of Applied Psychology, 29(4), 313-317. doi:10.1037/h0056128"
35,17,19,14,adults,Henderson et al. (1945),1945,between,music,pop,NA,reading comprehension,num_correct,49.2,NA,22.9,NA,NA,Journal of Applied Psychology,3.81,-1.098285866,0.14233639,-1.071498406,0.135477826,-1.792921731,-0.35007508,"Henderson, M. T., Crews, A., & Barlow, J. (1945). A study of the effect of music distraction on reading efficiency. Journal of Applied Psychology, 29(4), 313-317. doi:10.1037/h0056128"
36,18,13,13,adults,Miller (2014),2014,between,music,classical lyrical,NA,reading comprehension,num_correct,15.077,2.139,13.154,2.304,SD,NA,NA,-0.865035024,0.168236261,-0.837718129,0.157778584,-1.616256635,-0.059179622,"Miller, C. (2014). The differentiated effects of lyrical and non-lyrical music on reading comprehension. Master's thesis dissertation. Retrieved from http://rdw.rowan.edu/cgi/viewcontent.cgi?article=1351&context=etd"
37,18,13,17,adults,Miller (2014),2014,between,music,classical non-lyrical,NA,reading comprehension,num_correct,15.077,2.139,15.294,1.212,SD,NA,NA,0.129676551,0.136026873,0.12617178,0.128773431,-0.577174518,0.829518077,"Miller, C. (2014). The differentiated effects of lyrical and non-lyrical music on reading comprehension. Master's thesis dissertation. Retrieved from http://rdw.rowan.edu/cgi/viewcontent.cgi?article=1351&context=etd"
38,18,13,11,adults,Miller (2014),2014,between,music,rock lyrical,NA,reading comprehension,num_correct,15.077,2.139,14.182,2.4,SD,NA,NA,-0.395777116,0.171095491,-0.382129629,0.159499245,-1.164901818,0.40064256,"Miller, C. (2014). The differentiated effects of lyrical and non-lyrical music on reading comprehension. Master's thesis dissertation. Retrieved from http://rdw.rowan.edu/cgi/viewcontent.cgi?article=1351&context=etd"
39,18,13,18,adults,Miller (2014),2014,between,music,rock non-lyrical,NA,reading comprehension,num_correct,15.077,2.139,14.111,2.042,SD,NA,NA,-0.463824135,0.135948517,-0.451724375,0.128948068,-1.155547432,0.252098683,"Miller, C. (2014). The differentiated effects of lyrical and non-lyrical music on reading comprehension. Master's thesis dissertation. Retrieved from http://rdw.rowan.edu/cgi/viewcontent.cgi?article=1351&context=etd"
40,19,16,16,adults,Furnham & Allass (1999),1999,between,music,complex,NA,reading comprehension,num_correct,8,2.855,7.94,1.83,SD,European Journal of Personality,3.989,-0.025021811,0.125009783,-0.024391009,0.118786218,-0.69991239,0.651130371,"Furnham, A., & Allass, K. (1999). The influence of musical distraction of varying complexity on the cognitive performance of extroverts and introverts. European Journal of Personality, 13(1), 27-38. doi:10.1002/(SICI)1099-0984(199901/02)13:1<27::AID-PER318>3.0.CO;2-R"
41,19,16,16,adults,Furnham & Allass (1999),1999,between,music,simple,NA,reading comprehension,num_correct,8,2.855,7.875,1.83,SD,European Journal of Personality,3.989,-0.052128773,0.12504246,-0.050814603,0.118817268,-0.726424266,0.624795061,"Furnham, A., & Allass, K. (1999). The influence of musical distraction of varying complexity on the cognitive performance of extroverts and introverts. European Journal of Personality, 13(1), 27-38. doi:10.1002/(SICI)1099-0984(199901/02)13:1<27::AID-PER318>3.0.CO;2-R"
42,20,10,10,adults,Furnham & Bradley (1997),1997,between,music,pop,NA,reading comprehension,num_correct,9.3,1.835,7.7,1.29,SD,Applied Cognitive Psychology,1.481,-1.008773801,0.225440615,-0.966149556,0.206791788,-1.857447111,-0.074852001,"Furnham, A., & Bradley, A. (1997). Music while you work: The differential distraction of background music on the cognitive test performance of introverts and extraverts. Applied Cognitive Psychology, 11(5), 445-455. doi:10.1002/(SICI)1099-0720(199710)11:5<445::AID-ACP472>3.0.CO;2-R"
43,21,43,49,children,Furnham at al. (1999),1999,between,music,instrumental,NA,reading comprehension,num_correct,7.78,1.9,7.55,1.79,SD,Personality and Individual Differences,1.946,-0.124854049,0.043748698,-0.1238107,0.043020577,-0.530342183,0.282720783,"Furnham, A., Trew, S., & Sneade, I. (1999). The distracting effects of vocal and instrumental music on the cognitive test performance of introverts and extraverts. Personality and Individual Differences, 27(2), 381-392. doi:10.1016/S0191-8869(98)00249-9"
44,21,43,47,children,Furnham at al. (1999),1999,between,music,vocal,NA,reading comprehension,num_correct,7.78,1.9,7.64,2.22,SD,Personality and Individual Differences,1.946,-0.067520562,0.044557738,-0.066943463,0.043799322,-0.477137899,0.343250973,"Furnham, A., Trew, S., & Sneade, I. (1999). The distracting effects of vocal and instrumental music on the cognitive test performance of introverts and extraverts. Personality and Individual Differences, 27(2), 381-392. doi:10.1016/S0191-8869(98)00249-9"
45,22,30,30,adults,Perham & Currie (2014),2014,within,music,disliked lyrical,70,reading comprehension,prop_correct,0.607869289,0.045594213,0.37024367,0.036767633,SE,Applied Cognitive Psychology,1.481,-1.01468282,0.025926808,-0.708124039,0.024591749,-1.29557526,-0.680850406,"Perham, N., & Currie, H. (2014). Does listening to preferred music improve reading comprehension performance?. Applied Cognitive Psychology, 28(2), 279-284. doi:10.1002/acp.2994"
46,22,30,30,adults,Perham & Currie (2014),2014,within,music,non-lyrical,70,reading comprehension,prop_correct,0.607869289,0.045594213,0.547488933,0.048529198,SE,Applied Cognitive Psychology,1.481,-0.233473953,0.017582261,-0.162936157,0.016676891,-0.480495842,0.025729185,"Perham, N., & Currie, H. (2014). Does listening to preferred music improve reading comprehension performance?. Applied Cognitive Psychology, 28(2), 279-284. doi:10.1002/acp.2994"
47,22,30,30,adults,Perham & Currie (2014),2014,within,music,liked lyrical,70,reading comprehension,prop_correct,0.607869289,0.045594213,0.36591534,0.054417703,SE,Applied Cognitive Psychology,1.481,-0.860928116,0.023458851,-0.600822132,0.022250875,-1.130836974,-0.546101268,"Perham, N., & Currie, H. (2014). Does listening to preferred music improve reading comprehension performance?. Applied Cognitive Psychology, 28(2), 279-284. doi:10.1002/acp.2994"
48,23,13,12,adults,Kelly (1994),1994,between,music,pop,65,reading comprehension,num_correct,54.92,8.47,48.17,9.08,SD,Southeastern Journal of Music Education,NA,-0.769929533,0.17211224,-0.744547241,0.160951236,-1.530874316,0.041779834,"Kelly, S. N. (1994). A comparison of the effects of background music on the reading comprehension of university undergraduate music majors and nonmusic majors. Southeastern Journal of Music Education, 86."
49,24,28,28,adults,Dove (2009),2009,between,music,sedative classical,62.5,reading comprehension,num_correct,163.2142857,13.6010815,164.6428571,14.17147444,SD,NA,NA,0.102854792,0.071523028,0.101419609,0.069540962,-0.41544455,0.618283768,"Dove, M. K. (2009).The relationship of rhythmic and melodic perception with background music distraction in college level students (Order No. 3358711). Available from ProQuest Dissertations and Theses A&I: The Humanities and Social Sciences Collection. (304917640). Retrieved from https://kuscholarworks.ku.edu/bitstream/handle/1808/5339/Dove_ku_0099D_10312_DATA_1.pdf;sequence=1"
50,24,28,28,adults,Dove (2009),2009,between,music,stimulative classical,62.5,reading comprehension,num_correct,163.2142857,13.6010815,173.25,10.64798712,SD,NA,NA,0.821649135,0.077456315,0.810184263,0.075309824,0.272308607,1.348059919,"Dove, M. K. (2009).The relationship of rhythmic and melodic perception with background music distraction in college level students (Order No. 3358711). Available from ProQuest Dissertations and Theses A&I: The Humanities and Social Sciences Collection. (304917640). Retrieved from https://kuscholarworks.ku.edu/bitstream/handle/1808/5339/Dove_ku_0099D_10312_DATA_1.pdf;sequence=1"
51,24,28,28,adults,Dove (2009),2009,between,music,sedative classical,62.5,reading comprehension,reading_speed,196.7857143,21.29398653,198.3928571,21.30960362,SD,NA,NA,-0.075446353,0.071479394,-0.074393613,0.069498537,-0.591100088,0.442312862,"Dove, M. K. (2009).The relationship of rhythmic and melodic perception with background music distraction in college level students (Order No. 3358711). Available from ProQuest Dissertations and Theses A&I: The Humanities and Social Sciences Collection. (304917640). Retrieved from https://kuscholarworks.ku.edu/bitstream/handle/1808/5339/Dove_ku_0099D_10312_DATA_1.pdf;sequence=1"
52,24,28,28,adults,Dove (2009),2009,between,music,stimulative classical,62.5,reading comprehension,reading_speed,196.7857143,21.29398653,208.6071429,23.90310577,SD,NA,NA,-0.522236266,0.073863667,-0.514949248,0.071816737,-1.040202688,0.010304191,"Dove, M. K. (2009).The relationship of rhythmic and melodic perception with background music distraction in college level students (Order No. 3358711). Available from ProQuest Dissertations and Theses A&I: The Humanities and Social Sciences Collection. (304917640). Retrieved from https://kuscholarworks.ku.edu/bitstream/handle/1808/5339/Dove_ku_0099D_10312_DATA_1.pdf;sequence=1"
53,25,20,20,adults,Furnham et al. (1994),1994,within,speech,TV drama,NA,reading comprehension,num_correct,8.65,2.115,7.2,2.32,SD,Applied Cognitive Psychology,1.481,-0.649197322,0.031083828,-0.446587745,0.028646856,-0.954966918,-0.291491941,"Furnham, A., Gunter, B., & Peterson, E. (1994). Television distraction and the performance of introverts and extroverts. Applied Cognitive Psychology, 8(7), 705-711. doi:10.1002/acp.2350080708"
54,26,22,22,children,Johansson (1983),1983,between,noise,continuous,51,select word,prop_correct,96.55,4.38,97.71,3.64,SD,Ergonomics,1.449,0.288053218,0.091851985,0.282878609,0.088581555,-0.300469401,0.866226619,"Johansson, C. R. (1983). Effects of low intensity, continuous and intermittent noise on mental performance and writing pressure of children with different intelligence and personality characteristics. Ergonomics, 26(3), 275-288. doi:10.1080/00140138308963341"
55,26,22,22,children,Johansson (1983),1983,between,noise,intermittent,67.4,select word,prop_correct,96.55,4.38,97.37,3.35,SD,Ergonomics,1.449,0.210301697,0.091411668,0.206523822,0.088156916,-0.375424292,0.788471937,"Johansson, C. R. (1983). Effects of low intensity, continuous and intermittent noise on mental performance and writing pressure of children with different intelligence and personality characteristics. Ergonomics, 26(3), 275-288. doi:10.1080/00140138308963341"
56,27,28,28,adults,Halin (2016),2016,within,speech,native,60,reading comprehension (easy font),prop_correct,0.536700219,0.029426996,0.34971425,0.022888983,SE,Frontiers in Psychology,2.463,-1.284514068,0.033467227,-0.894637864,0.031616868,-1.597009857,-0.899989453,"Halin, N. (2016). Distracted While Reading? Changing to a Hard-to-Read Font Shields against the Effects of Environmental Noise and Speech on Text Memory. Frontiers in Psychology, 7."
57,27,28,28,adults,Halin (2016),2016,within,speech,native,60,reading comprehension (difficult font),prop_correct,0.487832177,0.029428481,0.455066384,0.022888241,SE,Frontiers in Psychology,2.463,-0.225076814,0.018802831,-0.156761413,0.017763247,-0.479992762,0.042460263,"Halin, N. (2016). Distracted While Reading? Changing to a Hard-to-Read Font Shields against the Effects of Environmental Noise and Speech on Text Memory. Frontiers in Psychology, 7."
58,27,28,28,adults,Halin (2016),2016,within,noise,road traffic,60,reading comprehension (easy font),prop_correct,0.536700219,0.029426996,0.459182526,0.029427738,SE,Frontiers in Psychology,2.463,-0.497817798,0.02061065,-0.346719949,0.019471115,-0.757356606,-0.210363974,"Halin, N. (2016). Distracted While Reading? Changing to a Hard-to-Read Font Shields against the Effects of Environmental Noise and Speech on Text Memory. Frontiers in Psychology, 7."
59,27,28,28,adults,Halin (2016),2016,within,noise,road traffic,60,reading comprehension (difficult font),prop_correct,0.487832177,0.029428481,0.486062919,0.029428481,SE,Frontiers in Psychology,2.463,-0.011361724,0.018339509,-0.007913209,0.017325542,-0.269031157,0.246944814,"Halin, N. (2016). Distracted While Reading? Changing to a Hard-to-Read Font Shields against the Effects of Environmental Noise and Speech on Text Memory. Frontiers in Psychology, 7."
60,27,28,28,adults,Halin (2016),2016,within,noise,aircraft,60,reading comprehension (easy font),prop_correct,0.536700219,0.029426996,0.486364354,0.029428481,SE,Frontiers in Psychology,2.463,-0.323252313,0.01929643,-0.225138646,0.018229556,-0.578822233,-0.049556094,"Halin, N. (2016). Distracted While Reading? Changing to a Hard-to-Read Font Shields against the Effects of Environmental Noise and Speech on Text Memory. Frontiers in Psychology, 7."
61,27,28,28,adults,Halin (2016),2016,within,noise,aircraft,60,reading comprehension (difficult font),prop_correct,0.487832177,0.029428481,0.484904697,0.029972696,SE,Frontiers in Psychology,2.463,-0.018621988,0.018341505,-0.012969835,0.017327427,-0.276101901,0.239902148,"Halin, N. (2016). Distracted While Reading? Changing to a Hard-to-Read Font Shields against the Effects of Environmental Noise and Speech on Text Memory. Frontiers in Psychology, 7."
62,28,54,54,adults,Smith-Jackson & Klein (2009),2009,within,speech,native,65,proofreading,prop_correct,0.53,0.18,0.52,0.21,SD,Journal of Environmental Psychology,2.647,-0.050281885,0.009520781,-0.035518227,0.009251973,-0.238093843,0.13895989,"Smith-Jackson, T. L., & Klein, K. W. (2009). Open-plan offices: Task performance and mental workload. Journal of Environmental Psychol- ogy, 29, 279–289. doi:10.1016/j.jenvp.2008.09.002"
63,29,30,30,adults,Cauchard et al. (2012),2012,within,music,instrumental,65,reading comprehension,prop_correct,0.87,0.03,0.91,0.02,SE,Applied Cognitive Psychology,1.481,0.259049944,0.017690063,0.180785058,0.016779142,-0.00159516,0.506179399,"Cauchard, F., Cane, J. E., & Weger, U. W. (2012). Influence of Background Speech and Music in Interrupted Reading: An Eye-Tracking Study. Applied Cognitive Psychology, 26(3), 381-390."
64,29,30,30,adults,Cauchard et al. (2012),2012,within,speech,native,65,reading comprehension,prop_correct,0.87,0.03,0.82,0.04,SE,Applied Cognitive Psychology,1.481,-0.244433572,0.017627085,-0.170584625,0.016719406,-0.491491989,0.015377901,"Cauchard, F., Cane, J. E., & Weger, U. W. (2012). Influence of Background Speech and Music in Interrupted Reading: An Eye-Tracking Study. Applied Cognitive Psychology, 26(3), 381-390."
65,29,30,30,adults,Cauchard et al. (2012),2012,within,music,instrumental,65,reading comprehension,reading_speed,12.29333333,0.753333333,12.25666667,0.706666667,SE,Applied Cognitive Psychology,1.481,0.009138749,0.017116485,0.006377725,0.016235099,-0.240837028,0.258637722,"Cauchard, F., Cane, J. E., & Weger, U. W. (2012). Influence of Background Speech and Music in Interrupted Reading: An Eye-Tracking Study. Applied Cognitive Psychology, 26(3), 381-390."
66,29,30,30,adults,Cauchard et al. (2012),2012,within,speech,native,65,reading comprehension,reading_speed,12.29333333,0.753333333,13.515,0.825,SE,Applied Cognitive Psychology,1.481,-0.280675494,0.017789949,-0.195877037,0.016873885,-0.527956579,-0.01875047,"Cauchard, F., Cane, J. E., & Weger, U. W. (2012). Influence of Background Speech and Music in Interrupted Reading: An Eye-Tracking Study. Applied Cognitive Psychology, 26(3), 381-390."
