"","ID","N_C","N_E","sample","cit","year","design","sound","sound_type","db","task","measure","mean_C","var_C","mean_E","var_E","var_type","journal","IF","d","d_var","g","g_var","CI95_L","CI95_R"
"118",48,50,50,"adults","Madsen (1987), Exp.1",1987,"between","music","various",75,"reading comprehension","num_correct",31.74,6.87,31.04,7.17,"SD","NA",NA,-0.0996923439971334,0.0400496928172582,-0.0989274411020148,0.0394374772239933,-0.488161320027903,0.290306437823873
"119",49,23,23,"children","Sörqvist (2010), Exp.1a",2010,"within","noise","aircraft",57.5,"reading comprehension","prop_correct",0.28,0.22,0.24,0.2,"SD","Journal of Environmental Psychology",2.647,-0.189026526483698,0.022723763548295,-0.130780091223871,0.0211836273743916,-0.41605017889775,0.154489996450009
"120",50,23,23,"children","Sörqvist (2010), Exp.1b",2010,"within","speech","native",57.5,"reading comprehension","prop_correct",0.28,0.16,0.17,0.11,"SD","Journal of Environmental Psychology",2.647,-0.733842238261127,0.0283361741499623,-0.507716862014054,0.0264156486724975,-0.826273538196278,-0.18916018583183
"121",51,24,24,"adults","Sörqvist et al. (2010), Exp.1",2010,"within","speech","native",65,"reading comprehension","prop_correct",0.61,0.17,0.49,0.19,"SD","Memory",1.976,-0.659788897226005,0.0260515005215798,-0.457198852298537,0.0243621325974053,-0.763122974567757,-0.151274730029318
"122",52,42,42,"adults","Sörqvist et al. (2010), Exp.2",2010,"within","speech","native",65,"reading comprehension","prop_correct",0.54,0.15,0.47,0.17,"SD","Memory",1.976,-0.431810850333201,0.0133653417792971,-0.303727963186189,0.0128778933926759,-0.52615034348391,-0.0813055828884692
"123",53,32,32,"adults","Halin et al. (2014)",2014,"within","speech","native",65,"reading comprehension","prop_correct",59.63,NA,56.265,NA,NA,"Journal of Applied Research in Memory and Cognition",2.063,-0.149345196831234,0.0162249796782882,-0.10440618881947,0.0154431692357294,-0.347976463968097,0.139164086329158
"1311",57,24,24,"adults","Baker & Madell (1965)",1965,"within","speech","native",NA,"reading comprehension","perc_correct",79.5,18.9,49,31.5,"SD","Journal of Educational Psychology",3.256,-1.01411288490223,0.0323961405464176,-0.702726658523382,0.030295340223579,-1.04387556882928,-0.361577748217484
"58",58,40,40,"adults","Vasilev et al. (n.d.)",2016,"within","noise+speech",NA,60,"reading comprehension","perc_correct",0.9363636,0.2443819,0.922727266666667,0.266711833333333,"SD","NA",NA,-0.0514897438171127,0.0128618076545786,-0.0361819083687201,0.012368749388195,-0.25416307188908,0.18179925515164
"138",59,22,20,"children","Falcon (2017), Sample 1",2017,"between","music","classical",55,"reading comprehension","num_correct",5.86,2.1,5.35,1.694,"SD","NA",NA,-0.265916326562814,0.0962963489394581,-0.260899037382384,0.0926968058142737,-0.8576435800605,0.335845505295732
"139",60,25,28,"children","Falcon (2017), Sample 2",2017,"between","music","classical",55,"reading comprehension","num_correct",5.24,2.204,7.68,1.389,"SD","NA",NA,1.34168406497709,0.0926965133578089,1.32185622165231,0.0899769597493838,0.733931491288606,1.90978095201601
"61",61,20,20,"adults","Ahuja (2016)",2016,"within","music",NA,60,"reading comprehension","num_correct",2.45,0.887,1.975,0.676,"SD","NA",NA,-0.573237120522391,0.032520318202962,-0.394334148298339,0.0299707252558498,-0.733650428695953,-0.0550178679007244
"62",62,31,61,"adults","Kou et al. (2017)",2017,"between","music+noise",NA,65,"reading comprehension","num_correct",6.5,2.52,6.8,2.45,"SD","Psychology of Music",1.394,0.1191326616847,0.0657715396498718,0.117542636671703,0.0641145848708147,-0.378746179683977,0.613831453027383
"147",65,24,47,"adults","Gillis (2016)",2016,"between","music","various",NA,"reading comprehension","num_correct",8.39864864864865,NA,8.53040540540541,NA,NA,NA,NA,0.0663779207929438,0.0629742907801418,0.0656537980206572,0.0616078007150812,-0.420836209304319,0.552143805345634
